candidate_id,gender,race,age,education_level,years_experience,skills_score,hired
173,Female,White,23,Tier1,4,68,0
174,Female,Asian,35,Tier3,9,63,1
175,Male,Hispanic,25,Tier1,8,70,0
176,Male,Black,36,Tier3,3,86,0
177,Male,Black,44,Tier3,4,90,1
178,Male,Black,36,Tier1,11,75,0
179,Female,Black,27,Tier2,5,97,0
180,Female,Hispanic,23,Tier3,8,89,1
181,Male,Black,42,Tier2,2,91,0
182,Male,Hispanic,34,Tier3,4,88,0
183,Female,Hispanic,29,Tier2,9,70,1
184,Male,White,45,Tier1,1,78,0
185,Male,Asian,28,Tier3,8,96,1
186,Male,White,36,Tier3,4,97,0
187,Female,White,45,Tier1,7,98,1
188,Male,Hispanic,38,Tier1,5,66,0
189,Male,Asian,46,Tier3,9,96,0
190,Male,Asian,34,Tier3,7,72,1
191,Male,White,45,Tier3,11,75,1
192,Female,Black,31,Tier1,8,70,1
193,Male,White,29,Tier1,10,81,1
194,Female,Black,22,Tier2,11,91,0
195,Male,White,45,Tier2,1,72,1
196,Female,Black,27,Tier3,5,81,1
197,Male,Hispanic,41,Tier3,7,97,0
198,Male,White,39,Tier1,2,96,0
199,Male,Black,45,Tier3,9,78,0
200,Female,Black,32,Tier3,3,65,0
201,Male,White,25,Tier1,0,60,1
202,Male,White,42,Tier1,0,67,1
203,Female,Black,26,Tier3,10,65,1
204,Male,Black,27,Tier3,1,77,0
205,Male,Hispanic,31,Tier3,9,85,0
206,Male,Asian,28,Tier3,9,86,1
207,Male,Black,41,Tier3,6,72,1
208,Female,Asian,25,Tier3,1,95,1
209,Female,Black,44,Tier1,0,74,0
210,Female,White,43,Tier2,9,96,1
211,Female,Hispanic,22,Tier2,8,83,0
212,Male,Black,46,Tier1,1,83,0
213,Male,Asian,25,Tier2,1,82,1
214,Female,Hispanic,39,Tier3,3,61,0
215,Female,White,28,Tier1,3,86,1
216,Male,Hispanic,32,Tier1,1,90,1
217,Male,Asian,41,Tier2,9,69,1
218,Male,Black,27,Tier1,1,84,1
219,Female,White,28,Tier3,8,94,1
220,Female,Black,43,Tier3,5,70,0
221,Male,White,34,Tier2,3,79,1
222,Male,White,24,Tier2,5,70,1
223,Female,Hispanic,34,Tier1,11,93,1
224,Female,Asian,44,Tier1,0,87,0
225,Female,Asian,44,Tier2,11,71,1
226,Male,Asian,22,Tier2,5,93,1
227,Female,Asian,22,Tier1,5,92,1
228,Female,Asian,42,Tier2,11,81,0
229,Female,Hispanic,46,Tier2,9,62,1
230,Male,Black,26,Tier2,11,79,1
231,Male,White,35,Tier3,3,96,1
232,Female,Black,25,Tier3,6,99,1
233,Female,White,24,Tier3,5,65,1
234,Male,Hispanic,42,Tier2,1,63,1
235,Male,Black,27,Tier1,2,96,1
236,Female,Hispanic,43,Tier1,7,85,0
237,Male,Hispanic,43,Tier1,6,73,0
238,Female,Hispanic,31,Tier1,1,72,1
239,Male,Asian,45,Tier3,8,98,0
240,Female,White,28,Tier2,10,99,0
241,Female,Black,46,Tier2,7,82,0
242,Male,White,39,Tier1,7,62,0
243,Female,Asian,25,Tier3,11,88,1
244,Male,Black,30,Tier1,3,87,0
245,Male,Hispanic,35,Tier1,2,83,1
246,Female,Hispanic,22,Tier3,7,98,0
247,Male,Asian,32,Tier2,7,95,1
248,Male,Hispanic,30,Tier3,7,87,1
249,Male,Hispanic,31,Tier3,11,87,1
250,Female,White,36,Tier1,7,98,0
251,Female,Hispanic,22,Tier3,3,71,0
252,Female,Black,41,Tier1,3,81,0
253,Male,White,28,Tier1,11,97,1
254,Male,Black,27,Tier3,5,96,0
255,Male,Hispanic,46,Tier3,8,97,1
256,Male,Black,32,Tier2,4,87,1
257,Male,Black,42,Tier1,1,76,0
258,Female,Hispanic,31,Tier2,1,84,1
259,Female,Hispanic,42,Tier2,1,95,0
260,Male,White,45,Tier2,10,82,1
261,Female,Hispanic,30,Tier1,9,62,0
262,Male,White,30,Tier3,8,72,1
263,Female,Black,23,Tier1,9,65,0
264,Male,Black,33,Tier1,2,61,1
265,Female,Hispanic,23,Tier3,11,64,0
266,Female,White,29,Tier3,0,77,0
267,Male,White,42,Tier3,4,83,0
268,Male,White,27,Tier3,4,62,0
269,Male,Hispanic,36,Tier1,6,89,1
270,Female,Black,42,Tier2,0,69,0
271,Male,Asian,41,Tier2,4,93,0
272,Female,Hispanic,26,Tier1,2,63,0
273,Female,Hispanic,29,Tier2,6,71,0
274,Male,Black,26,Tier1,8,69,1
275,Male,Asian,46,Tier2,8,94,1
276,Female,Asian,44,Tier2,8,72,1
277,Female,White,22,Tier3,1,69,0
278,Female,Hispanic,29,Tier1,8,73,0
279,Male,White,38,Tier1,11,93,1
280,Male,Asian,29,Tier1,6,77,0
281,Male,Black,34,Tier1,9,63,0
282,Female,White,34,Tier2,9,96,0
283,Male,Hispanic,29,Tier3,0,62,1
284,Male,White,22,Tier3,6,85,1
285,Male,Black,26,Tier3,6,62,0
286,Male,Hispanic,34,Tier2,2,65,1
287,Male,Asian,24,Tier2,8,70,1
288,Female,Black,35,Tier2,10,96,1
289,Female,Black,32,Tier1,0,69,0
290,Male,White,44,Tier3,5,73,1
291,Male,Black,30,Tier2,3,67,1
292,Female,White,45,Tier1,8,76,1
293,Male,Asian,46,Tier2,4,61,0
294,Male,White,28,Tier1,8,77,1
295,Female,Black,42,Tier2,1,68,0
296,Male,Hispanic,27,Tier1,10,72,0
297,Female,Asian,42,Tier1,7,91,0
298,Male,White,37,Tier2,0,89,0
299,Female,Hispanic,23,Tier2,0,88,0
300,Female,Hispanic,43,Tier3,4,75,0
301,Female,Hispanic,40,Tier1,9,62,1
302,Male,White,37,Tier2,3,89,1
303,Male,Asian,23,Tier1,6,68,1
304,Female,Asian,31,Tier1,11,93,0
305,Female,Asian,24,Tier3,3,60,1
306,Male,Hispanic,43,Tier1,5,93,0
307,Male,Black,25,Tier3,4,61,1
308,Male,White,38,Tier2,8,85,0
309,Male,White,22,Tier2,9,83,1
310,Female,White,23,Tier3,0,67,1
311,Female,Asian,23,Tier1,11,97,1
312,Male,Hispanic,27,Tier1,0,63,0
313,Male,Asian,33,Tier2,5,68,1
314,Male,Hispanic,23,Tier2,4,95,1
315,Female,Hispanic,39,Tier1,6,80,1
316,Female,Asian,37,Tier1,7,92,1
317,Female,Asian,37,Tier2,3,62,0
318,Female,Asian,29,Tier1,10,89,1
319,Female,Hispanic,43,Tier3,11,65,0
320,Male,Asian,31,Tier2,5,96,1
321,Male,Black,37,Tier3,0,93,1
322,Female,Black,33,Tier2,4,81,0
323,Female,Hispanic,23,Tier1,9,92,1
324,Male,Hispanic,27,Tier3,3,75,0
325,Female,Asian,26,Tier1,11,84,1
326,Female,Hispanic,27,Tier3,0,78,0
327,Female,Hispanic,28,Tier1,8,78,1
328,Female,Asian,46,Tier2,4,62,0
329,Male,Black,43,Tier2,11,77,1
330,Male,Asian,32,Tier3,4,80,1
331,Male,Hispanic,38,Tier1,1,92,1
332,Male,Black,45,Tier3,8,84,1
333,Male,White,24,Tier2,1,78,1
334,Male,White,33,Tier3,3,78,1
335,Male,White,22,Tier2,1,70,1
336,Female,Asian,39,Tier1,7,74,0
337,Male,Black,36,Tier2,2,92,1
338,Male,Hispanic,38,Tier3,8,74,1
339,Female,White,22,Tier2,10,77,1
340,Male,Hispanic,42,Tier3,4,90,1
341,Female,Black,42,Tier3,11,80,0
342,Male,White,36,Tier3,10,68,1
343,Female,Hispanic,23,Tier2,4,93,0
344,Female,Asian,32,Tier3,8,68,1
345,Female,Hispanic,33,Tier2,10,83,1
346,Male,Hispanic,39,Tier3,2,71,0
347,Female,Black,25,Tier2,8,96,0
348,Female,White,44,Tier2,5,70,0
349,Male,Asian,29,Tier3,9,92,1
350,Male,White,37,Tier1,8,74,1
351,Female,Asian,33,Tier2,0,87,1
352,Female,White,40,Tier1,1,72,0
353,Male,White,22,Tier2,4,60,1
354,Male,Black,45,Tier3,6,88,1
355,Male,Asian,46,Tier1,0,94,1
356,Male,Hispanic,46,Tier3,6,67,0
357,Female,Asian,42,Tier3,10,78,0
358,Female,Black,37,Tier1,11,64,0
359,Male,Hispanic,31,Tier3,8,82,1
360,Male,Black,26,Tier1,7,60,0
361,Female,Asian,23,Tier3,3,71,0
362,Female,White,22,Tier3,2,84,1
363,Male,White,43,Tier2,8,72,1
364,Male,Black,44,Tier3,4,92,1
365,Female,White,40,Tier2,8,94,0
366,Male,Black,41,Tier2,3,61,1
367,Male,Hispanic,40,Tier3,5,91,0
368,Male,Hispanic,24,Tier3,7,63,1
369,Female,Black,45,Tier3,10,79,0
370,Female,Black,29,Tier3,1,78,0
371,Female,Hispanic,46,Tier2,11,78,0
372,Male,Black,24,Tier2,7,63,0
373,Male,Asian,33,Tier1,1,98,1
374,Male,White,28,Tier2,0,73,1
375,Male,White,41,Tier3,7,92,1
376,Female,Asian,25,Tier2,6,87,1
377,Female,White,30,Tier2,6,85,1
378,Male,White,34,Tier1,5,90,1
379,Female,Black,44,Tier3,4,95,0
380,Male,Black,32,Tier2,3,70,0
381,Female,White,37,Tier3,10,81,1
382,Female,Hispanic,34,Tier2,11,96,0
383,Female,Asian,38,Tier2,0,90,0
384,Female,Hispanic,37,Tier3,1,99,0
385,Female,Hispanic,45,Tier3,8,78,0
386,Female,White,36,Tier1,6,62,0
387,Male,Black,39,Tier1,0,76,1
388,Male,White,23,Tier2,11,92,0
389,Female,Black,33,Tier3,6,68,0
390,Male,Asian,26,Tier2,7,65,0
391,Male,White,33,Tier1,8,95,1
392,Female,White,43,Tier2,2,67,0
393,Female,Black,28,Tier2,4,62,1
394,Female,Black,37,Tier2,3,65,0
395,Male,White,24,Tier3,10,84,1
396,Female,Asian,27,Tier2,1,96,0
397,Male,White,38,Tier2,5,77,1
398,Male,Hispanic,35,Tier3,10,66,0
399,Female,Black,22,Tier3,9,70,1
400,Male,Black,38,Tier3,7,64,0
401,Female,White,24,Tier1,3,67,0
402,Male,White,45,Tier2,0,95,1
403,Female,White,44,Tier2,1,75,0
404,Male,Black,34,Tier1,5,68,0
405,Female,White,24,Tier3,4,82,1
406,Male,Asian,39,Tier3,0,77,1
407,Female,White,46,Tier2,5,95,1
408,Male,White,37,Tier1,8,91,1
409,Female,Hispanic,42,Tier2,9,95,1
410,Female,White,28,Tier2,1,69,1
411,Female,Black,33,Tier1,10,63,0
412,Male,Hispanic,26,Tier2,2,79,0
413,Female,Asian,40,Tier3,11,80,1
414,Female,Asian,23,Tier3,5,99,1
415,Male,Hispanic,34,Tier1,8,88,0
416,Male,White,34,Tier2,2,84,0
417,Female,Black,41,Tier2,10,94,1
418,Male,Hispanic,22,Tier2,3,63,0
419,Male,Black,24,Tier2,8,70,1
420,Female,White,38,Tier3,1,86,1
421,Male,White,35,Tier2,0,71,1
422,Female,Asian,26,Tier3,5,77,0
423,Female,Black,22,Tier3,8,77,0
424,Male,White,24,Tier1,3,69,1
425,Female,Asian,29,Tier2,10,94,0
426,Male,Asian,39,Tier3,7,77,1
427,Female,Hispanic,39,Tier2,10,73,0
428,Male,White,22,Tier2,3,99,1
429,Male,Asian,33,Tier1,9,76,0
430,Female,Asian,31,Tier2,6,65,1
431,Female,Black,33,Tier1,3,89,0
432,Male,Asian,24,Tier1,2,81,0
433,Female,White,24,Tier3,3,96,1
434,Female,Hispanic,27,Tier3,10,78,1
435,Male,White,42,Tier1,1,75,0
436,Female,Hispanic,26,Tier3,3,95,0
437,Female,White,23,Tier3,1,99,0
438,Male,Hispanic,37,Tier2,6,64,0
439,Male,White,34,Tier1,10,74,1
440,Male,Asian,45,Tier3,4,72,1
441,Female,White,30,Tier3,7,63,0
442,Male,Hispanic,38,Tier1,0,72,0
443,Male,Hispanic,42,Tier2,8,77,0
444,Male,Asian,24,Tier2,8,78,1
445,Male,Black,32,Tier3,9,75,0
446,Male,Black,37,Tier2,8,80,1
447,Female,Asian,34,Tier1,2,65,0
448,Female,Black,36,Tier1,3,65,1
449,Female,Hispanic,38,Tier2,8,66,0
450,Male,Asian,45,Tier2,2,62,1
451,Female,Hispanic,38,Tier2,4,64,0
452,Female,Hispanic,45,Tier1,11,68,1
453,Female,Black,28,Tier1,9,91,0
454,Male,Asian,42,Tier3,3,91,1
455,Female,White,37,Tier2,7,63,1
456,Female,Hispanic,39,Tier1,10,97,0
457,Male,Black,30,Tier2,7,65,1
458,Female,Asian,38,Tier2,0,75,1
459,Female,Black,41,Tier3,3,89,0
460,Male,Asian,30,Tier2,8,73,1
461,Male,Asian,24,Tier1,0,91,1
462,Male,Hispanic,22,Tier1,8,63,1
463,Male,Asian,40,Tier1,6,98,0
464,Male,Black,29,Tier2,4,73,0
465,Male,Asian,32,Tier2,9,91,0
466,Male,White,30,Tier1,7,99,1
467,Female,Hispanic,34,Tier3,2,93,1
468,Male,Black,33,Tier1,2,83,0
469,Male,Asian,45,Tier3,1,80,1
470,Male,Asian,28,Tier3,0,95,1
471,Male,Asian,22,Tier1,7,93,1
472,Male,Black,26,Tier2,8,89,1
473,Male,White,39,Tier2,7,98,1
474,Male,Asian,46,Tier3,8,72,0
475,Male,Asian,35,Tier2,11,85,1
476,Male,Hispanic,23,Tier2,9,69,0
477,Female,White,44,Tier2,3,70,1
478,Female,Asian,32,Tier2,1,62,1
479,Female,White,28,Tier3,1,68,1
480,Male,Hispanic,22,Tier2,8,98,1
481,Female,White,30,Tier1,1,69,0
482,Female,White,24,Tier3,1,92,0
483,Male,Black,46,Tier2,7,66,0
484,Male,Asian,25,Tier2,8,62,1
485,Male,Hispanic,37,Tier3,9,71,1
486,Female,Asian,42,Tier3,1,89,1
487,Male,Asian,28,Tier3,2,73,1
488,Male,White,37,Tier2,8,88,1
489,Female,White,36,Tier2,7,66,0
490,Female,Black,28,Tier2,3,84,0
491,Female,Black,32,Tier1,9,93,0
492,Male,Hispanic,28,Tier1,7,85,1
493,Male,Asian,35,Tier2,11,85,1
494,Female,Hispanic,40,Tier3,3,86,0
495,Male,White,22,Tier1,1,61,1
496,Female,Asian,45,Tier2,0,68,1
497,Female,Hispanic,37,Tier1,5,91,1
498,Male,Black,30,Tier2,9,72,0
499,Female,Black,31,Tier1,2,89,1
500,Male,Black,27,Tier3,5,96,1
