applicant_id,gender,race,age,income,credit_score,loan_amount,loan_approved
56,Male,White,30,39968,751,82813,1
57,Female,Hispanic,52,58816,700,78854,1
58,Female,Hispanic,31,97859,735,313851,1
59,Male,Black,29,36084,635,218802,0
60,Male,Hispanic,31,46183,591,106722,0
61,Female,Hispanic,38,82583,744,338140,0
62,Male,Hispanic,45,46212,701,289858,1
63,Female,Black,59,38253,592,168958,1
64,Female,Black,45,100934,740,137191,0
65,Female,Asian,53,106378,763,282093,1
66,Male,Black,31,65763,598,268874,0
67,Female,Asian,23,108812,647,362265,0
68,Male,White,43,35968,739,341064,1
69,Male,Hispanic,55,92232,773,276144,1
70,Female,White,49,32867,651,160837,1
71,Female,Black,41,62115,597,362610,0
72,Female,Hispanic,58,48238,724,263347,0
73,Female,White,32,87480,749,54467,0
74,Female,Asian,23,46907,625,169353,1
75,Female,Asian,40,106563,730,167026,0
76,Female,Hispanic,60,70829,736,189490,0
77,Male,White,42,105690,635,88808,1
78,Male,Black,35,86251,669,61692,0
79,Female,Hispanic,54,51956,628,153869,0
80,Female,Hispanic,59,97548,661,168576,1
81,Female,Hispanic,26,99206,610,84210,1
82,Male,Black,41,81858,592,164839,1
83,Male,Black,52,32725,650,183902,0
84,Male,Black,44,84322,623,101350,0
85,Male,Hispanic,52,39879,598,336740,1
86,Male,Black,43,109282,707,305657,0
87,Male,Hispanic,57,55546,769,80558,1
88,Male,Black,31,108556,666,234298,1
89,Male,Black,32,75194,738,263392,0
90,Male,Asian,42,70412,625,303916,1
91,Male,Hispanic,34,49304,597,221566,0
92,Female,Asian,54,106213,669,318611,0
93,Male,Hispanic,25,35695,702,441820,1
94,Male,White,30,100423,729,184460,1
95,Male,Black,36,58478,702,299117,1
96,Male,Asian,46,91145,692,61692,1
97,Male,Black,29,76352,635,397948,1
98,Female,White,48,86019,748,212208,0
99,Female,Black,31,58776,683,316965,0
100,Male,Asian,29,49558,667,339428,1
101,Male,Hispanic,44,97917,591,165573,0
102,Female,White,37,44556,747,58235,1
103,Male,Hispanic,49,93390,585,348525,1
104,Female,Asian,46,33212,704,54466,0
105,Male,White,47,39663,641,416540,1
106,Female,White,32,91836,699,361347,0
107,Male,Hispanic,56,60600,711,276065,1
108,Male,Asian,57,60206,742,61030,1
109,Male,Hispanic,45,54497,642,85733,0
110,Male,Hispanic,45,85118,627,160173,1
111,Female,Hispanic,53,48275,735,417513,0
112,Male,Hispanic,44,45546,764,400919,0
113,Female,Asian,40,30328,762,324847,1
114,Male,Black,60,85809,747,291256,1
115,Male,Black,22,68031,741,174081,1
116,Female,Black,53,106079,707,78594,0
117,Female,Hispanic,59,88964,717,115117,0
118,Female,Black,51,109209,751,403264,0
119,Female,Hispanic,58,107830,652,227339,0
120,Male,White,55,39346,636,234502,0
121,Female,Hispanic,30,62139,711,268595,0
122,Female,Asian,44,73745,626,369714,0
123,Male,White,44,87510,748,196734,1
124,Male,Hispanic,45,89809,646,330093,1
125,Male,Hispanic,60,42455,709,437983,1
126,Male,Asian,60,64467,598,384725,0
127,Female,Hispanic,51,64987,664,185319,0
128,Female,Asian,50,60183,779,232787,1
129,Male,Hispanic,31,33321,750,417361,0
130,Male,Asian,35,104125,751,275587,1
131,Male,Asian,52,102249,778,60005,1
132,Female,Black,32,44933,756,363006,0
133,Male,Asian,54,55068,761,135084,1
134,Female,Hispanic,38,106515,671,117594,1
135,Male,Black,45,30144,774,268463,0
136,Male,Asian,47,69170,610,163864,0
137,Female,White,35,66550,671,248347,1
138,Female,Hispanic,38,75334,756,216496,0
139,Male,White,35,109780,774,405609,1
140,Female,Asian,59,33745,749,78777,1
141,Female,Hispanic,25,51393,769,79281,0
142,Male,Asian,40,49341,656,240592,0
143,Female,Asian,38,44726,618,175715,1
144,Female,Black,26,70673,633,92213,0
145,Female,Hispanic,42,31670,618,143688,0
146,Female,Asian,61,40666,596,130381,0
147,Female,Black,52,67606,711,301495,0
148,Female,Black,38,74238,762,182758,0
149,Female,Hispanic,41,35893,644,411613,0
150,Male,Asian,27,99580,629,176302,0
151,Female,Black,59,38743,675,268433,0
152,Male,Hispanic,32,96816,649,229464,1
153,Female,Asian,36,44855,620,119620,1
154,Female,Black,31,93658,599,372563,0
155,Male,Black,37,48520,674,229203,1
156,Female,White,48,53859,672,110141,1
157,Female,White,42,54502,597,276571,0
158,Female,Black,52,44280,751,161265,0
159,Female,Hispanic,47,46003,778,149971,0
160,Male,Asian,47,40112,698,127725,1
161,Female,Asian,47,72889,639,121508,1
162,Female,Asian,30,32539,605,58345,1
163,Male,Asian,55,80703,669,334610,0
164,Female,Black,46,35854,773,314961,1
165,Female,Black,24,40223,703,363291,0
166,Female,White,30,89754,604,140653,1
167,Female,Hispanic,39,64172,590,61302,1
168,Male,Black,45,101550,584,359384,1
169,Female,Black,59,79575,761,243575,0
170,Male,Asian,28,33759,647,62802,1
171,Female,Black,27,101051,624,443698,0
172,Male,Hispanic,36,74766,612,299495,0
173,Male,Asian,40,30216,713,383655,1
174,Male,Asian,46,69427,623,195379,1
175,Male,Asian,53,83340,726,227831,0
176,Female,White,58,61277,661,359382,1
177,Female,Black,28,43892,715,252761,0
178,Male,White,29,93148,754,139323,0
179,Female,Asian,48,63895,612,385062,1
180,Female,White,49,88638,612,88210,0
181,Male,Hispanic,58,30343,752,375375,1
182,Female,Hispanic,38,71068,722,340411,0
183,Female,Asian,35,89791,730,166267,1
184,Male,Black,42,75292,637,341073,0
185,Male,Hispanic,28,91454,724,439873,1
186,Female,White,28,78824,729,418336,1
187,Female,Black,45,51432,633,347271,0
188,Female,Asian,22,30710,727,113222,0
189,Female,Black,50,103212,620,244752,1
190,Female,Black,34,84355,741,174566,0
191,Female,White,48,89801,710,333303,1
192,Female,Hispanic,30,38108,755,50379,1
193,Male,Black,50,85535,655,157794,1
194,Female,White,22,81110,738,292020,1
195,Male,Hispanic,39,37500,717,122903,1
196,Female,Asian,37,100497,639,373324,1
197,Male,Hispanic,45,92408,719,60880,0
198,Male,Hispanic,57,92781,697,62340,1
199,Male,Asian,55,85758,722,121670,0
200,Male,Black,34,108094,598,436772,0
201,Female,Hispanic,55,82808,760,325656,1
202,Female,Black,39,66305,724,322024,1
203,Female,Black,51,72954,629,323294,1
204,Male,White,60,50770,748,157942,1
205,Male,White,35,62454,585,434479,1
206,Female,Asian,23,51325,692,364831,0
207,Female,Black,27,73021,653,198438,1
208,Male,Hispanic,45,34658,674,132238,0
209,Female,White,25,67904,663,352513,1
210,Male,Black,59,105016,700,229901,1
211,Female,White,50,61727,620,135069,1
212,Male,Hispanic,44,61335,675,198068,0
213,Female,Asian,44,43913,668,127967,1
214,Male,White,34,99789,675,407290,1
215,Male,Black,24,62645,698,84305,0
216,Male,Hispanic,41,85329,768,315877,1
217,Male,Hispanic,30,101558,620,55848,1
218,Male,Hispanic,25,85051,681,363222,1
219,Female,White,30,83765,660,363393,0
220,Female,Asian,40,67918,664,106073,0
221,Male,Black,45,109984,671,430131,0
222,Female,White,38,62218,712,266197,0
223,Female,Hispanic,49,87723,682,317053,0
224,Female,Black,33,94323,720,156326,0
225,Male,Asian,28,87140,659,444995,1
226,Female,Hispanic,35,56253,629,350356,1
227,Female,Asian,50,38054,627,200268,1
228,Female,White,38,106782,775,123876,1
229,Female,White,38,76731,718,424396,1
230,Female,White,25,78628,661,309908,1
231,Male,Black,61,76447,615,269950,0
232,Male,White,57,99538,690,305835,1
233,Female,Hispanic,39,63759,778,241245,0
234,Male,White,26,79706,737,441986,1
235,Female,White,49,67461,633,266490,1
236,Male,White,52,69187,702,236451,0
237,Female,Black,36,35811,589,53518,0
238,Female,Hispanic,28,103001,633,105345,1
239,Female,Hispanic,36,69887,762,394237,1
240,Male,Asian,57,56430,738,259837,1
241,Male,Black,47,100683,588,432473,1
242,Male,Asian,42,54718,603,339968,1
243,Male,White,42,91831,717,321100,1
244,Male,Hispanic,22,41790,673,351296,0
245,Male,Black,54,54501,626,248698,0
246,Male,Asian,34,107792,595,313124,1
247,Male,Black,32,102418,587,191140,0
248,Male,Asian,54,48559,772,273190,1
249,Female,Asian,42,45318,729,163702,1
250,Female,Black,55,93563,694,52406,0
251,Male,White,61,73809,644,130708,1
252,Female,Asian,51,53049,660,237426,1
253,Female,Asian,51,30839,645,172563,1
254,Male,Hispanic,42,70099,711,80134,0
255,Male,White,35,108313,776,404512,0
256,Female,Asian,42,59852,683,275040,0
257,Male,Black,53,32933,727,116798,1
258,Male,Black,43,49569,598,417173,0
259,Female,Hispanic,44,60910,731,294186,1
260,Male,Asian,58,104765,636,62055,1
261,Male,Black,48,48324,712,444207,0
262,Female,Hispanic,41,45843,585,95030,0
263,Female,White,22,79226,640,324416,0
264,Female,Black,28,54960,587,120114,0
265,Female,White,60,72606,761,422266,1
266,Female,White,40,94607,616,232443,0
267,Male,White,24,76526,691,224704,0
268,Female,Black,44,73775,760,164648,0
269,Female,Hispanic,35,37532,731,229516,0
270,Female,Hispanic,57,58005,599,363556,0
271,Male,Hispanic,49,71475,663,314567,1
272,Male,White,53,106055,612,227158,0
273,Female,Black,61,51683,652,179386,1
274,Male,Asian,35,105040,602,285037,0
275,Male,Black,55,84880,653,172928,0
276,Female,Hispanic,24,45084,688,230592,0
277,Male,White,41,106532,703,76325,1
278,Male,Asian,49,99623,595,62218,1
279,Female,Hispanic,31,82032,635,199803,1
280,Male,White,30,57399,678,401755,1
281,Male,White,37,75296,777,205046,1
282,Female,Asian,41,47726,760,448457,0
283,Male,White,57,56520,681,117364,1
284,Female,Black,35,109276,624,95634,0
285,Female,Black,28,73893,768,133515,1
286,Female,White,45,74308,747,419185,0
287,Female,White,40,105284,671,192940,1
288,Male,Hispanic,40,53776,741,394718,1
289,Male,Black,23,75908,779,143380,0
290,Female,White,53,107134,710,385037,1
291,Male,Asian,36,53211,680,303246,1
292,Male,Hispanic,25,76009,670,120159,1
293,Female,Asian,35,40500,764,408650,1
294,Male,Hispanic,47,46215,659,428910,1
295,Male,Black,46,72227,683,167447,0
296,Male,Hispanic,41,40475,643,442715,1
297,Female,White,51,85295,774,220031,0
298,Male,Asian,45,74331,706,286610,1
299,Male,White,30,107313,728,389186,1
300,Male,Hispanic,58,41672,676,187809,1
301,Female,Hispanic,32,42656,768,349603,1
302,Female,Black,32,38728,709,443245,0
303,Male,White,46,37667,666,320126,1
304,Male,Black,35,65473,662,165585,1
305,Male,Asian,47,78338,732,277771,1
306,Male,White,34,62325,649,53598,1
307,Female,Hispanic,36,102646,709,238960,0
308,Male,Asian,38,33365,655,359332,0
309,Female,White,53,73993,684,199499,1
310,Female,Asian,58,38209,598,128180,0
311,Male,Asian,43,76711,630,141571,1
312,Female,Hispanic,54,104089,655,111839,1
313,Male,Black,38,92464,641,434993,1
314,Female,White,51,87970,625,59830,0
315,Female,White,36,46092,670,341941,0
316,Female,Asian,53,41901,732,402710,0
317,Male,Asian,37,72221,747,221993,0
318,Female,Black,35,58970,670,211488,0
319,Male,Asian,32,45677,623,304123,1
320,Female,Asian,42,60893,617,267813,0
321,Female,Hispanic,58,80461,589,120191,0
322,Female,White,36,76654,691,198713,0
323,Female,Hispanic,61,72884,698,167367,0
324,Female,Asian,59,62901,734,85345,1
325,Female,Asian,39,31391,701,209300,1
326,Female,Asian,26,75211,678,369775,0
327,Male,Hispanic,51,98495,766,69578,1
328,Female,Black,30,46687,741,405230,0
329,Male,Black,54,59670,777,216478,1
330,Male,Black,37,63821,634,134116,1
331,Male,Asian,29,98949,738,366592,1
332,Male,Black,26,66615,591,104604,0
333,Male,Black,44,48848,670,349782,1
334,Male,Black,35,82467,649,402906,0
335,Male,Asian,44,82352,673,406365,0
336,Female,White,25,36388,580,200547,1
337,Female,Hispanic,25,43106,728,353930,1
338,Male,Black,52,52892,612,241491,0
339,Female,White,45,68125,702,332236,1
340,Male,White,42,107775,623,167152,1
341,Male,Hispanic,45,55446,588,441469,1
342,Female,White,45,66197,687,184723,1
343,Female,Black,31,32801,649,436063,1
344,Male,White,52,51763,652,389003,1
345,Male,Black,34,84160,654,245396,1
346,Female,Hispanic,27,63224,704,62960,0
347,Female,White,27,45022,749,70378,1
348,Female,Hispanic,35,62122,751,345477,0
349,Male,Asian,24,92945,728,338800,1
350,Female,White,31,98930,721,449293,0
351,Male,Hispanic,43,78852,722,236687,1
352,Male,Black,49,45138,603,279513,0
353,Female,White,36,67988,735,177137,0
354,Female,Asian,52,56502,758,228794,0
355,Male,Hispanic,39,89519,746,131276,0
356,Male,Black,43,95947,723,91797,1
357,Female,Hispanic,31,69809,672,66113,1
358,Male,Black,27,77137,767,293150,1
359,Female,Black,25,89215,709,364672,1
360,Female,Black,38,55136,627,206185,0
361,Male,Asian,23,84979,750,383578,0
362,Female,White,46,81844,701,304633,1
363,Female,Hispanic,54,76730,623,217213,0
364,Male,Hispanic,54,78499,706,306314,1
365,Male,Hispanic,42,34809,757,344373,1
366,Male,Asian,31,80818,619,171507,1
367,Female,White,36,98800,638,393640,1
368,Male,Asian,58,41000,663,322867,1
369,Female,White,60,79173,585,155323,0
370,Male,Hispanic,23,44121,753,213777,0
371,Female,White,59,62989,590,401973,0
372,Female,Hispanic,42,75333,730,125607,0
373,Male,Asian,56,84909,711,290201,1
374,Male,White,33,57864,594,349585,1
375,Female,White,44,71350,758,316931,1
376,Female,White,51,109367,695,221398,0
377,Male,White,33,32271,692,418622,0
378,Female,Asian,58,90414,670,176763,1
379,Female,White,23,108690,696,150123,1
380,Male,Black,37,79307,656,394983,0
381,Male,Hispanic,53,39258,615,152297,1
382,Male,Hispanic,41,72973,745,283293,1
383,Female,Hispanic,48,52453,631,124021,0
384,Male,Black,33,70763,607,235472,1
385,Female,Hispanic,30,34170,636,167328,0
386,Male,White,27,66342,689,414328,1
387,Female,Asian,23,36543,713,262425,1
388,Female,Black,33,104062,757,294701,0
389,Female,Black,61,87462,651,358159,0
390,Female,Asian,23,48049,759,357383,0
391,Female,Asian,60,108925,659,88475,0
392,Male,Hispanic,59,55420,692,231929,0
393,Male,White,37,84509,672,340549,1
394,Male,Black,46,93916,743,108696,0
395,Male,Black,45,55147,659,112597,0
396,Female,Black,42,48278,685,211857,1
397,Male,Black,47,52145,681,148615,0
398,Male,Black,54,72633,676,137419,1
399,Female,Black,40,35790,731,187620,0
400,Female,Asian,28,91448,717,321076,0
401,Female,Black,29,49979,590,348052,0
402,Female,Hispanic,52,30052,661,370904,1
403,Female,Asian,33,107389,588,103036,0
404,Female,Asian,59,69980,634,243345,0
405,Male,Hispanic,54,101367,669,389855,0
406,Male,Asian,30,30415,755,193523,0
407,Male,White,43,80891,614,198851,0
408,Female,Hispanic,54,43274,683,254053,0
409,Male,Hispanic,58,80648,608,287666,1
410,Female,Hispanic,49,109482,724,447376,1
411,Female,Black,59,42128,748,429381,0
412,Male,Black,22,104440,731,404952,1
413,Female,White,44,72525,615,63007,0
414,Female,Black,56,80950,619,131079,0
415,Female,Hispanic,37,32279,607,185944,0
416,Male,White,57,44990,735,69212,0
417,Female,Asian,30,109816,740,50889,0
418,Male,Hispanic,60,91944,683,430041,1
419,Female,Asian,25,108793,582,324777,0
420,Male,Asian,61,35768,752,405139,1
421,Male,Black,50,57411,769,221358,1
422,Female,Asian,47,37399,742,57498,1
423,Male,Asian,48,42138,735,144750,1
424,Female,Asian,60,103292,609,430188,1
425,Female,Hispanic,32,90744,774,243958,0
426,Female,Hispanic,27,56088,592,335192,0
427,Female,Hispanic,43,80051,687,448682,0
428,Male,Hispanic,39,107778,585,380910,1
429,Female,White,28,108013,586,96447,1
430,Male,Black,61,79992,658,235961,0
431,Male,White,33,105498,592,254464,0
432,Female,Hispanic,26,66988,632,424628,0
433,Female,Black,25,36240,695,229435,0
434,Male,Hispanic,34,105737,774,236763,1
435,Female,Asian,47,33633,701,312611,0
436,Male,Asian,35,81838,621,436588,1
437,Male,Hispanic,40,69867,687,378968,0
438,Male,Black,40,78693,700,307083,0
439,Male,Black,38,63334,620,371104,1
440,Male,Asian,30,89015,589,160447,1
441,Female,White,41,97220,656,289707,1
442,Male,Asian,53,46601,582,408922,1
443,Male,Asian,57,53348,689,186102,1
444,Male,White,33,34818,775,155113,1
445,Male,Asian,29,98962,583,247495,1
446,Male,Hispanic,22,107798,750,434294,1
447,Male,Black,60,30115,735,324748,1
448,Female,Black,51,63983,762,257706,0
449,Male,Black,43,31676,772,158080,1
450,Female,White,56,39112,697,434222,1
451,Male,White,32,47518,657,113028,1
452,Male,Hispanic,45,82981,760,267197,1
453,Male,Asian,49,109506,672,412577,1
454,Male,Black,55,68727,610,207831,1
455,Female,Black,44,80685,585,136317,0
456,Male,Hispanic,31,47543,765,51943,1
457,Male,Black,33,107390,624,360421,1
458,Male,Asian,34,106337,743,324186,1
459,Female,Asian,31,65662,691,219184,1
460,Male,White,30,88383,772,131242,1
461,Male,Black,35,68725,729,145144,1
462,Female,White,29,42743,769,119605,0
463,Male,Hispanic,56,41028,732,53865,1
464,Female,Hispanic,58,77115,674,309656,0
465,Female,Asian,60,72333,749,407099,0
466,Male,Asian,36,89092,729,221205,1
467,Female,Asian,23,80989,704,304474,1
468,Female,Asian,25,30754,690,362204,1
469,Male,Hispanic,29,57893,646,286666,1
470,Male,Black,43,74875,693,404200,0
471,Female,Asian,23,38118,583,66459,1
472,Female,White,36,68306,763,321059,1
473,Male,Black,33,92567,650,213912,1
474,Female,Asian,51,88655,709,209513,0
475,Male,White,48,86871,588,412771,1
476,Female,Hispanic,28,77290,676,393823,0
477,Female,Hispanic,31,65831,755,126913,0
478,Female,Hispanic,41,63770,618,298772,0
479,Female,Black,22,102598,712,53139,0
480,Female,Hispanic,33,91420,599,146646,1
481,Male,White,26,48268,602,174767,1
482,Female,White,52,42467,742,360777,1
483,Male,Hispanic,58,79659,621,449725,1
484,Female,White,39,80706,670,159450,1
485,Female,White,24,65777,694,320152,1
486,Female,Hispanic,38,88873,700,291304,0
487,Male,Black,37,56831,712,265216,0
488,Female,Black,57,51473,582,50957,0
489,Female,White,37,87721,703,53632,1
490,Male,Hispanic,31,90585,632,115796,1
491,Female,Asian,24,75927,770,123049,0
492,Female,Hispanic,60,104729,694,187354,0
493,Male,White,45,88717,666,95109,1
494,Female,Asian,28,59719,773,274914,0
495,Female,White,49,66700,631,345271,1
496,Male,Hispanic,23,87460,729,401891,1
497,Female,Hispanic,33,44562,648,337098,0
498,Male,Black,25,73007,658,382722,0
499,Male,Black,54,58274,596,163127,1
500,Female,Asian,34,97060,645,234080,1
501,Female,Asian,36,70174,726,250183,1
502,Female,White,38,61835,646,137547,0
503,Female,White,49,44078,728,425326,1
504,Male,White,50,44787,611,193208,0
505,Male,Hispanic,53,105895,759,127448,1
506,Female,Black,53,93519,703,443072,0
507,Male,Asian,31,101970,696,122416,1
508,Male,Black,31,104396,680,412033,0
509,Female,Hispanic,59,38841,653,150054,0
510,Male,White,35,82206,750,62046,1
511,Female,Black,27,67094,703,145058,0
512,Male,Black,37,47159,636,257976,1
513,Male,Asian,41,34598,725,262467,1
514,Female,Black,33,65783,717,333547,0
515,Male,White,41,33406,725,199198,1
516,Female,White,54,105278,756,274119,1
517,Female,White,46,31935,663,400237,0
518,Female,White,28,79743,689,428026,1
519,Female,Hispanic,24,32319,719,356534,0
520,Female,White,61,51623,638,425613,0
521,Male,Black,49,55796,643,348646,1
522,Male,Asian,55,76452,647,376418,0
523,Male,Asian,55,82871,692,155382,1
524,Male,Asian,37,76130,687,52644,1
525,Female,Asian,59,91299,603,74635,0
526,Female,Black,39,60605,696,54837,1
527,Female,White,49,76715,696,413112,0
528,Female,White,40,103783,718,87242,1
529,Female,White,39,62020,668,58926,1
530,Female,White,50,105081,664,426970,0
531,Female,White,31,53865,682,215413,0
532,Female,Hispanic,29,93846,668,245176,0
533,Male,White,22,82958,598,403185,1
534,Female,Asian,49,73659,730,236509,0
535,Male,Black,45,48075,631,133254,0
536,Male,White,34,65470,646,258627,0
537,Female,Hispanic,50,55179,608,112916,1
538,Female,Asian,53,85542,710,375417,1
539,Female,Asian,40,100327,604,434404,0
540,Male,Hispanic,34,103548,621,252815,1
541,Female,Black,26,41924,704,140136,0
542,Male,White,22,51661,779,202617,1
543,Male,Asian,43,67649,679,92486,1
544,Female,White,49,97532,592,376117,0
545,Female,Hispanic,53,68764,715,401437,0
546,Female,Black,48,76866,586,66852,0
547,Female,Black,55,44211,765,173884,1
548,Female,Black,38,102881,587,361598,1
549,Male,White,45,64661,758,215547,0
550,Female,Black,54,75321,703,248958,0
551,Male,Asian,32,73017,620,227241,0
552,Female,Hispanic,28,68580,702,248889,0
553,Female,White,41,34293,647,255746,0
554,Male,Asian,48,34969,637,215975,1
555,Male,Asian,58,101538,604,214691,1
556,Female,White,49,72601,597,416361,1
557,Female,Hispanic,60,81600,663,130803,0
558,Male,White,61,62867,768,393906,0
559,Female,Asian,22,71936,624,226728,0
560,Male,Asian,31,57712,691,262996,1
561,Male,Asian,33,39999,650,147756,1
562,Female,Black,25,80348,778,112264,0
563,Male,Asian,47,109634,622,80720,1
564,Male,Asian,57,42870,747,118373,1
565,Female,Hispanic,50,82757,657,177424,1
566,Female,Asian,38,102120,758,383248,0
567,Female,Black,39,105467,759,281012,0
568,Female,Black,59,81734,670,305922,1
569,Male,Hispanic,57,64898,626,183200,1
570,Male,Hispanic,59,82848,602,147747,0
571,Male,Asian,26,43248,715,234895,1
572,Male,Hispanic,60,61258,609,52683,1
573,Female,Black,60,83407,686,286498,0
574,Male,Hispanic,61,93373,756,416769,0
575,Male,White,33,61833,716,407598,1
576,Male,Hispanic,39,61701,662,280933,1
577,Female,Black,33,76878,741,281647,0
578,Male,Black,56,58856,661,70214,1
579,Male,White,30,53048,774,155624,1
580,Male,Asian,36,89518,644,283897,1
581,Male,Hispanic,54,42468,598,254657,1
582,Male,Asian,31,80486,734,81568,1
583,Male,Asian,56,81778,585,415511,0
584,Female,Hispanic,56,86982,619,439941,0
585,Male,Asian,25,75221,618,67231,0
586,Male,Asian,31,67180,634,59679,1
587,Female,White,28,47481,590,125390,0
588,Female,Black,53,31320,621,250495,1
589,Female,Hispanic,44,55977,757,435107,0
590,Male,White,23,57716,706,148805,1
591,Male,Asian,35,33865,610,249810,1
592,Male,Asian,60,84596,749,266864,1
593,Male,Hispanic,57,69831,713,265351,0
594,Male,White,35,76942,697,426686,1
595,Female,White,59,106429,715,202288,1
596,Male,Black,57,98827,731,403125,0
597,Female,Asian,49,68971,704,56139,1
598,Male,Asian,28,101312,756,193580,1
599,Female,Hispanic,61,76093,726,346832,1
600,Male,Asian,45,43187,686,98181,1
601,Male,White,27,77338,767,291769,1
602,Male,Hispanic,28,40747,760,361168,0
603,Male,Hispanic,52,99012,610,252535,0
604,Male,White,30,88721,616,263196,1
605,Male,Hispanic,26,61238,606,441986,1
606,Male,Asian,22,82580,613,174083,0
607,Female,Asian,25,59117,702,286668,0
608,Male,Asian,45,33027,616,309714,0
609,Female,White,27,37433,597,93375,1
610,Female,Asian,28,39367,737,173470,0
611,Male,Black,48,43256,655,304046,0
612,Male,Black,30,39821,603,284343,1
613,Male,Black,47,59068,665,258044,1
614,Female,White,57,76686,690,324472,0
615,Female,Hispanic,47,59300,684,382316,1
616,Female,Black,44,76434,759,294326,0
617,Male,Black,36,94597,648,436538,1
618,Female,White,56,81980,583,283703,1
619,Female,Asian,25,57173,727,412308,0
620,Female,Hispanic,26,102205,722,341758,0
621,Female,Hispanic,23,77994,775,276275,1
622,Male,Hispanic,52,67260,635,79751,1
623,Female,Hispanic,24,98512,611,278555,0
624,Male,Black,32,91615,599,246375,1
625,Female,Black,61,108665,597,355642,0
626,Female,White,34,67909,649,250452,1
627,Male,Hispanic,30,78520,669,386597,0
628,Female,Black,60,100019,748,393434,1
629,Male,Hispanic,58,69425,678,338515,0
630,Male,Hispanic,40,40663,626,124628,1
631,Male,Asian,37,40139,724,245707,1
632,Female,Asian,38,64925,664,262537,0
633,Female,White,25,69174,633,83514,1
634,Male,Hispanic,47,52405,775,407254,0
635,Male,Asian,28,69699,682,153402,1
636,Male,Black,22,82128,773,344016,1
637,Male,Black,29,46543,706,390474,1
638,Female,Asian,33,37832,729,216268,1
639,Male,White,54,94423,658,270238,1
640,Male,White,53,36688,625,127760,0
641,Male,Asian,49,47023,688,184519,1
642,Male,Hispanic,59,91813,644,373445,0
643,Male,White,55,44384,654,208174,1
644,Female,Black,57,35070,681,447643,0
645,Male,Black,58,109231,731,272982,1
646,Female,Hispanic,50,89059,664,114891,0
647,Female,Hispanic,32,105463,676,425464,0
648,Female,Asian,48,66855,668,338719,1
649,Female,Asian,28,34826,742,171587,0
650,Female,Asian,34,88043,675,167012,0
651,Male,Hispanic,55,109535,625,415192,1
652,Male,Black,44,45605,729,151269,1
653,Female,Black,52,104125,744,310686,0
654,Male,White,30,96957,674,66360,0
655,Male,Hispanic,28,73621,622,342626,1
656,Female,Hispanic,56,99565,610,328467,0
657,Male,White,51,65886,586,78520,0
658,Female,White,50,38876,711,348071,0
659,Female,Hispanic,31,99597,600,430586,0
660,Male,White,49,32999,653,429967,1
661,Female,Asian,39,49891,604,191233,0
662,Female,Hispanic,49,48154,693,98224,0
663,Female,Hispanic,44,31388,695,150866,1
664,Male,Hispanic,27,97753,779,179682,0
665,Female,Asian,59,59822,621,434756,1
666,Male,Black,41,73781,636,56477,0
667,Male,Hispanic,46,84825,697,101568,0
668,Female,Hispanic,43,108927,773,161328,1
